   9.910    5.123   20.001
   9.278    3.931   20.000
  10.127    2.971   19.999
  11.344    3.344   19.999
  11.205    5.002   20.001
  12.229    4.799   20.001
  11.320    6.073   20.002
   9.835    1.994   19.998
  11.109    2.902   19.999
   4.014   11.491   18.797
   4.043   12.796   18.450
   5.250   13.189   18.278
   6.130   12.289   18.467
   5.201   10.967   18.869
   6.193   10.643   18.899
   4.781   10.015   19.145
   5.471   14.149   18.012
   6.140   12.772   18.339
  14.341    5.386    7.936
  14.514    4.385    7.047
  13.408    3.774    6.835
  12.419    4.233    7.492
  13.112    5.479    8.351
  12.103    5.469    8.619
  13.371    6.312    8.981
  13.343    2.987    6.190
  12.483    3.862    7.162
  16.803   13.476   12.348
  17.201   14.677   12.818
  17.595   15.428   11.858
  17.527   14.890   10.706
  16.918   13.381   11.056
  17.048   13.406   10.021
  16.537   12.374   11.081
  17.933   16.377   12.020
  17.674   15.335   10.880
  17.549    3.771   10.349
  18.062    4.715    9.531
  19.337    4.605    9.462
  19.823    3.658   10.160
  18.463    2.997   10.855
  19.269    2.434   11.206
  17.715    2.439   11.393
  19.901    5.234    8.890
  20.013    4.008    9.857
  12.805   10.647    1.145
  11.864   10.685    0.178
  10.726   10.322    0.643
  10.735   10.015    1.878
  12.329   10.258    2.291
  11.851    9.936    3.162
  13.301   10.355    2.745
   9.891   10.287    0.057
  10.386   10.029    1.520
  11.450   10.104   15.043
  11.602   10.844   16.162
  10.477   11.333   16.534
   9.495   11.022   15.787
  10.219   10.073   14.627
   9.206   10.110   14.378
  10.499    9.444   13.799
  10.394   11.922   17.362
   9.551   11.296   16.201
  10.110    4.380   13.576
   9.737    5.642   13.877
  10.760    6.357   14.166
  11.870    5.736   14.106
  11.396    4.207   13.653
  12.435    4.172   13.743
  11.289    3.174   13.367
  10.675    7.341   14.420
  11.732    6.204   14.218
  13.823    7.487   12.648
  14.211    8.779   12.700
  15.490    8.864   12.724
  16.093    7.744   12.694
  14.829    6.663   12.635
  15.700    6.088   12.628
  14.158    5.821   12.594
  15.968    9.763   12.764
  16.237    8.222   12.714
  14.982    9.694    6.658
  14.506   10.510    5.693
  15.323   11.474    5.476
  16.371   11.448    6.198
  16.133   10.083    7.119
  17.051   10.478    7.421
  16.160    9.248    7.799
  15.133   12.193    4.779
  16.195   11.751    5.840
   3.728   15.579    8.438
   4.357   16.447    9.258
   3.732   16.548   10.373
   2.686   15.828   10.456
   2.659   15.069    8.975
   1.823   14.719    9.494
   2.471   14.488    8.088
   4.059   17.159   11.120
   2.919   16.149   10.760
  17.922   15.615    8.229
  18.909   14.742    7.936
  19.225   14.819    6.696
  18.557   15.677    6.035
  17.543   16.307    7.195
  17.313   16.807    6.308
  16.817   16.831    7.793
  19.953   14.233    6.289
  18.922   15.353    5.926
   2.643   11.167   12.430
   3.088   12.440   12.371
   2.116   13.264   12.512
   0.979   12.714   12.672
   1.358   11.095   12.612
   0.325   11.144   12.759
   1.401   10.019   12.602
   2.259   14.273   12.496
   1.144   13.186   12.650
  16.916   17.671   -0.003
  18.200   17.254   -0.001
  18.999   18.257   -0.000
  18.421   19.391   -0.001
  16.811   18.967   -0.002
  16.835   20.011   -0.002
  15.736   18.895   -0.003
  20.011   18.138    0.001
  18.896   19.236   -0.000
   8.226   15.763    8.033
   7.730   16.707    7.205
   6.450   16.650    7.173
   5.944   15.742    7.908
   7.295   15.041    8.583
   6.476   14.522    8.970
   8.033   14.466    9.115
   5.897   17.288    6.601
   5.761   16.092    7.601
  16.639   10.862   18.638
  17.221   11.846   17.919
