   8.799    9.757   10.482
   9.231    9.591   11.589
   9.571    9.467    9.400
   7.538   10.236   10.309
  10.881    8.969    9.681
   6.803   10.512   11.504
  11.025    8.912   10.760
  10.994    7.975    9.246
  11.625    9.640    9.250
   5.813   10.888   11.243
   6.701    9.597   12.088
   7.332   11.262   12.092
  11.661   14.694    8.822
  10.799   14.094    9.402
  11.801   14.553    7.476
  12.499   15.515    9.510
  10.874   13.670    6.840
  12.276   15.599   10.920
  10.197   13.254    7.585
  10.300   14.220    6.094
  11.419   12.861    6.353
  13.002   16.281   11.364
  11.268   15.970   11.108
  12.388   14.611   11.366
  12.266    2.788   15.988
  13.193    3.540   16.114
  11.065    3.256   15.553
  12.417    1.468   16.280
  11.003    4.656   15.271
  13.714    1.070   16.729
  11.975    5.110   15.467
  10.736    4.805   14.225
  10.250    5.122   15.908
  13.716   -0.002   16.932
  14.452    1.294   15.959
  13.966    1.611   17.642
   4.467   18.694   13.443
   4.375   19.850   13.135
   3.440   17.839   13.189
   5.598   18.239   14.046
   2.294   18.409   12.553
   6.623   19.210   14.271
   2.463   19.472   12.382
   2.121   17.910   11.599
   1.421   18.279   13.193
   7.476   18.734   14.756
   6.939   19.635   13.318
   6.238   20.003   14.913
   4.167    5.396    7.617
   4.697    6.239    8.287
   3.578    4.325    8.213
   4.157    5.512    6.262
   3.640    4.290    9.641
   4.801    6.671    5.728
   4.172    5.169   10.004
   2.628    4.284   10.049
   4.165    3.389    9.960
   4.730    6.657    4.639
   4.314    7.568    6.111
   5.851    6.673    6.022
   4.159    8.443   10.445
   3.824    7.291   10.474
   3.218    9.424   10.400
   5.480    8.767   10.456
   1.857    8.986   10.391
   6.394    7.669   10.504
   1.824    7.897   10.424
   1.339    9.391   11.261
   1.368    9.338    9.482
   7.417    8.047   10.509
   6.218    7.088   11.409
   6.247    7.034    9.630
   1.519   12.453   16.175
   2.291   13.036   15.465
   0.740   11.462   15.665
   1.423   12.785   17.491
   0.911   11.185   14.273
   2.281   13.839   17.936
   1.669   11.850   13.860
   1.228   10.149   14.145
  -0.034   11.342   13.753
   2.118   14.016   19.000
   3.321   13.556   17.771
   2.060   14.749   17.379
  15.931   17.969   15.399
  15.545   19.046   15.762
  15.227   16.850   15.719
  17.074   17.868   14.668
  14.040   17.057   16.489
  17.746   19.097   14.382
  13.914   18.121   16.686
  13.178   16.685   15.934
  14.122   16.519   17.434
  18.642   18.893   13.795
  17.083   19.751   13.815
  18.027   19.585   15.315
  13.893   12.846   12.738
  12.919   12.426   13.298
  14.339   14.104   13.001
  14.551   12.064   11.840
  13.583   14.849   13.958
  14.008   10.759   11.630
  12.751   14.244   14.316
  14.224   15.118   14.798
  13.198   15.756   13.491
  14.614   10.227   10.895
  14.012   10.207   12.569
  12.986   10.844   11.262
  14.778   10.246   18.870
  15.969   10.378   18.934
  13.979   11.339   18.736
  14.227    9.004   18.932
  14.648   12.601   18.680
  15.145    7.918   19.073
  15.724   12.446   18.759
  14.420   13.092   17.734
  14.310   13.229   19.505
  14.593    6.977   19.112
  15.826    7.903   18.222
  15.716    8.040   19.993
  13.200    5.227   17.663
  12.197    5.884   17.731
  13.256    4.008   18.264
  14.279    5.702   16.985
  12.074    3.594   18.952
  14.125    6.992   16.388
  11.311    4.367   18.864
  11.704    2.667   18.513
  12.305    3.429   20.005
  15.048    7.267   15.875
  13.306    6.965   15.669
  13.907    7.728   17.161
  17.661    3.722    1.077
  16.914    4.141    0.237
  18.778    4.425    1.406
  17.392    2.543    1.699
  18.977    5.651    0.698
  16.196    1.876    1.287
  18.160    5.802   -0.006
  19.004    6.480    1.407
  19.922    5.608    0.155
  16.084    0.948    1.850
  15.337    2.519    1.474
  16.255    1.648    0.223
  15.111    9.914    2.531
  16.307    9.836    2.472
  14.457   10.869    1.816
  14.410    9.049    3.311
  15.278   11.733    1.026
  15.184    8.081    4.024
  16.324   11.453    1.148
  14.997   11.640   -0.024
  15.137   12.764    1.349
  14.520    7.446    4.612
  15.740    7.466    3.316
  15.881    8.590    4.690
   8.894    5.512    2.225
   8.887    4.705    1.337
   8.711    6.831    1.948
   9.086    5.107    3.510
   8.517    7.160    0.570
   9.269    3.702    3.702
   8.554    6.252   -0.030
   7.546    7.640    0.444
   9.304    7.842    0.246
   9.413    3.496    4.764
   8.389    3.167    3.346
  10.147    3.370    3.148
  17.143   14.369    9.346
  16.491   13.366    9.244
  16.578   15.500    9.847
  18.447   14.374    8.959
  15.203   15.398   10.227
  18.953   13.139    8.444
  14.847   14.386   10.035
  15.102   15.624   11.288
  14.613   16.108    9.647
  20.001   13.262    8.169
  18.867   12.365    9.207
  18.379   12.849    7.565
   7.559   16.476   12.326
   7.428   17.537   12.870
   6.680   16.094   11.361
   8.585   15.655   12.675
   5.635   17.023   11.062
   9.457   16.141   13.699
   5.741   17.905   11.693
   5.697   17.315   10.014
   4.668   16.555   11.251
  10.236   15.404   13.894
   9.915   17.075   13.374
   8.886   16.315   14.611
  15.432    9.932   14.227
  14.854    9.313   15.078
  15.524   11.286   14.315
  15.994    9.279   13.175
  14.902   11.883   15.456
  15.846    7.857   13.169
  14.449   11.107   16.072
  15.651   12.419   16.039
  14.132   12.581   15.126
  16.334    7.444   12.284
  16.306    7.439   14.064
  14.787    7.601   13.151
   9.122    6.811   15.069
   8.302    5.980   15.345
   9.482    7.007   13.772
   9.690    7.559   16.053
   8.831    6.175   12.809
   9.248    7.282   17.385
   8.135    5.507   13.316
   8.286    6.798   12.099
   9.577    5.585   12.275
   9.769    7.937   18.084
   8.175    7.456   17.456
   9.465    6.243   17.632
  10.812   18.007    7.524
  10.046   18.359    6.669
  10.568   18.318    8.825
  11.923   17.297    7.191
   9.376   19.067    9.078
  12.094   17.018    5.799
   8.860   19.258    8.137
   8.724   18.498    9.741
   9.636   20.015    9.549
  13.012   16.447    5.653
  11.246   16.438    5.437
  12.158   17.954    5.245
   6.327    7.717   14.050
   5.408    8.418   14.373
   6.089    6.486   13.522
   7.605    8.153   14.211
   4.714    6.115   13.391
   7.755    9.459   14.774
   4.083    6.925   13.755
   4.489    5.922   12.342
   4.524    5.215   13.975
   8.816    9.700   14.855
   7.266   10.191   14.131
   7.301    9.483   15.764
   3.228   12.551    5.950
   2.958   13.661    6.317
   4.517   12.224    5.665
   2.244   11.621    5.818
   5.480   13.267    5.833
   0.922   12.058    6.140
   4.980   14.173    6.174
   6.221   12.961    6.572
   5.975   13.461    4.881
   0.222   11.233    5.999
   0.889   12.386    7.179
   0.643   12.886    5.488
   6.913    1.533    2.984
   7.899    0.852    3.029
   6.051    1.553    4.036
   6.656    2.286    1.880
   6.405    0.731    5.151
   7.618    2.200    0.826
   7.343    0.216    4.941
   6.523    1.352    6.039
   5.618   -0.004    5.324
   7.309    2.841   -0.001
   8.591    2.526    1.193
   7.686    1.169    0.478
   9.538   13.252   17.797
   8.735   12.990   16.945
  10.412   14.279   17.615
   9.575   12.524   18.945
  10.297   14.987   16.378
   8.619   11.465   19.046
   9.494   14.552   15.783
  10.074   16.035   16.578
  11.236   14.914   15.829
   8.742   10.954   20.002
   7.612   11.877   18.982
   8.774   10.756   18.233
  10.331   16.700    1.628
  10.462   16.429    0.467
   9.436   17.652    2.007
  11.077   16.056    2.565
   8.698   18.274    0.952
  11.990   15.073    2.072
   9.004   17.851   -0.004
   7.632   18.100    1.103
   8.895   19.346    0.955
  12.529   14.625    2.908
  11.438   14.297    1.540
  12.700   15.543    1.392
   4.621   15.632    8.220
   4.072   16.085    9.187
   5.335   14.479    8.321
   4.528   16.272    7.024
   5.375   13.878    9.618
   3.757   17.476    7.015
   4.799   14.484   10.318
   4.948   12.876    9.568
   6.409   13.816    9.958
   3.753   17.899    6.010
   2.734   17.255    7.319
   4.195   18.194    7.709
  18.553   11.909   17.946
  19.737   12.047   17.803
  18.046   10.692   18.279
  17.720   12.970   17.775
  18.999    9.638   18.438
  18.344   14.208   17.426
  20.001   10.023   18.253
  18.941    9.246   19.453
  18.780    8.841   17.727
  17.583   14.982   17.316
  19.044   14.497   18.211
  18.882   14.092   16.485
  14.556    9.550    8.498
  14.147    9.263    7.407
  14.850   10.844    8.795
  14.726    8.581    9.438
  14.641   11.791    7.745
  14.390    7.251    9.034
  14.267   11.277    6.860
  13.912   12.536    8.067
  15.583   12.285    7.507
  14.565    6.564    9.863
  13.340    7.212    8.746
  15.010    6.961    8.186
   8.653   12.683    2.949
   8.624   11.761    2.182
   7.596   13.536    3.026
   9.742   12.875    3.741
   6.498   13.254    2.155
  10.801   11.927    3.589
   6.722   12.367    1.563
   5.600   13.079    2.748
   6.335   14.102    1.490
  11.616   12.180    4.270
  10.433   10.928    3.820
  11.167   11.951    2.563
  12.418    7.268   12.310
  11.287    7.082   11.953
  12.713    8.331   13.106
  13.404    6.418   11.918
  11.612    9.169   13.466
  12.998    5.331   11.082
  10.698    8.783   13.015
  11.504    9.181   14.551
  11.794   10.182   13.109
  13.866    4.720   10.832
  12.265    4.720   11.609
  12.555    5.722   10.166
  13.062    4.406    5.417
  12.807    4.849    4.331
  13.044    5.221    6.505
  13.368    3.088    5.558
  12.711    6.589    6.258
  13.362    2.311    4.358
  12.525    6.732    5.194
  11.816    6.853    6.822
  13.538    7.227    6.571
  13.620    1.278    4.592
  12.369    2.343    3.908
  14.091    2.717    3.657
   4.773    8.790   17.729
   3.757    8.241   18.054
   5.042   10.044   18.181
   5.656    8.158   16.910
   4.056   10.627   19.037
   5.287    6.843   16.487
   3.234    9.926   19.175
   4.504   10.857   20.004
   3.679   11.545   18.585
   6.065    6.438   15.838
   5.171    6.199   17.358
   4.345    6.887   15.939
  11.508    9.372   17.848
  10.899   10.007   18.665
  11.959    8.126   18.154
  11.745    9.898   16.617
  11.661    7.658   19.472
  11.232   11.213   16.388
  11.102    8.421   20.012
  11.065    6.747   19.408
  12.591    7.446   20.001
  11.481   11.529   15.374
  10.149   11.207   16.510
  11.675   11.906   17.103
  14.420   18.527    8.744
  14.606   19.667    8.417
  14.911   17.513    7.982
  13.720   18.249    9.876
  15.634   17.903    6.811
  13.244   19.379   10.611
  15.659   18.990    6.744
  16.653   17.519    6.869
  15.142   17.495    5.928
  12.700   19.037   11.493
  14.089   19.993   10.923
  12.578   19.969    9.982
   2.562    8.715   16.200
   1.710    9.560   16.207
   2.274    7.456   16.628
   3.815    9.015   15.765
   0.931    7.236   17.067
   4.022   10.363   15.335
   0.361    8.159   16.973
